dimension,group,smart_consumption_share_pct,period
Семейное положение,Не состоят в браке,35.0,2025
Семейное положение,Состоят в браке,33.8,2025
Наличие детей,Нет детей,35.7,2025
Наличие детей,Есть дети,31.2,2025
Пол,Мужчины,30.9,2025
Пол,Женщины,30.0,2025
Возраст,25-34,22.6,2024
Возраст,25-34,30.0,2025
Возраст,45-54,33.2,2024
Возраст,45-54,35.7,2025
Возраст,55-64,37.1,2024
Возраст,55-64,44.5,2025
Возраст,65+,,2024
Возраст,65+,46.7,2025
Тип населённого пункта,Города-миллионники,29.5,2024
Тип населённого пункта,Города-миллионники,35.6,2025
Тип населённого пункта,Города 100 тыс.-1 млн,30.7,2024
Тип населённого пункта,Города 100 тыс.-1 млн,34.1,2025
Тип населённого пункта,Небольшие города,31.3,2024
Тип населённого пункта,Небольшие города,39.0,2025
Тип населённого пункта,Сельская местность,34.9,2024
Тип населённого пункта,Сельская местность,40.7,2025
Импульсивность покупок,Не склонны к импульсивным покупкам,37.6,2025
Импульсивность покупок,Склонны к импульсивным покупкам,27.1,2025
Покупка новинок,Реже покупают новинки,35.0,2025
Покупка новинок,Чаще покупают новинки,26.3,2025
Участие в распродажах,Реже участвуют в распродажах,36.3,2025
Участие в распродажах,Чаще участвуют в распродажах,29.7,2025
Канал покупки,Офлайн-шопинг,40.2,2025
Канал покупки,Онлайн-шопинг,28.2,2025
