metric,value,unit,period
"Рост реальных располагаемых денежных доходов, г/г",1.5,%,1 кв. 2026
Среднедушевой денежный доход (номинал),69000.0,руб./мес,1 кв. 2026
"Среднедушевой доход, среднее за год",75000.0,руб./мес,2025
Медианный доход,55000.0,руб./мес,2025
Коэффициент фондов,16.0,раз,2025
Коэффициент фондов,14.0,раз,2022
Коэффициент Джини,0.422,индекс,2025
Коэффициент Джини,0.398,индекс,2022
"Рост реальной зарплаты, г/г",8.7,%,1 кв. 2026
"Рост реальной зарплаты, г/г",2.4,%,декабрь 2025
Средняя зарплата (номинал),112700.0,руб./мес,март 2026
Средняя пенсия (номинал),25400.0,руб./мес,апрель 2026
Ставка НДС (базовая),22.0,%,с 1 января 2026 (было 20%)
Рост расходов домохозяйств от повышения НДС (оценка),1.1,%,"2026, оценка НИУ ВШЭ"
Влияние повышения НДС на цены (оценка Банка России),0.35,п.п.,январь 2026
Доля домохозяйств с ипотекой,10.0,%,"устойчиво, 2023-2025"
Средний ежемесячный платёж по ипотеке,26000.0,руб./ДХ,2025
"Доля домохозяйств, арендующих жильё",7.0,%,"устойчиво, 2023-2025"
