year,month,category,value_million_rub
2025,январь,Всего,4570260.0
2025,февраль,Всего,4522575.0
2025,март,Всего,5017788.3
2025,апрель,Всего,4911758.9
2025,май,Всего,5060964.5
2025,июнь,Всего,5106370.5
2025,июль,Всего,5377424.6
2025,август,Всего,5494808.1
2025,сентябрь,Всего,5263884.6
2025,октябрь,Всего,5477746.4
2025,ноябрь,Всего,5240995.6
2025,декабрь,Всего,6275415.7
2025,январь,Розничные рынки и ярмарки,148087.9
2025,февраль,Розничные рынки и ярмарки,148732.7
2025,март,Розничные рынки и ярмарки,149658.5
2025,апрель,Розничные рынки и ярмарки,154428.9
2025,май,Розничные рынки и ярмарки,155061.9
2025,июнь,Розничные рынки и ярмарки,156256.1
2025,июль,Розничные рынки и ярмарки,164866.5
2025,август,Розничные рынки и ярмарки,167556.9
2025,сентябрь,Розничные рынки и ярмарки,169089.5
2025,октябрь,Розничные рынки и ярмарки,166616.1
2025,ноябрь,Розничные рынки и ярмарки,167104.5
2025,декабрь,Розничные рынки и ярмарки,172542.6
2025,январь,Торгующие организации,4422172.1
2025,февраль,Торгующие организации,4373842.3
2025,март,Торгующие организации,4868129.8
2025,апрель,Торгующие организации,4757330.0
2025,май,Торгующие организации,4905902.6
2025,июнь,Торгующие организации,4950114.4
2025,июль,Торгующие организации,5212558.1
2025,август,Торгующие организации,5327251.2
2025,сентябрь,Торгующие организации,5094795.1
2025,октябрь,Торгующие организации,5311130.3
2025,ноябрь,Торгующие организации,5073891.1
2025,декабрь,Торгующие организации,6102873.1
2026,январь,Всего,4912104.3
2026,февраль,Всего,4844375.2
2026,март,Всего,5591362.5
2026,апрель,Всего,5476231.9
2026,май,Всего,5700805.0
2026,июнь,Всего,5773141.3
2026,июль,Всего,6037422.3
2026,январь,Розничные рынки и ярмарки,152735.8
2026,февраль,Розничные рынки и ярмарки,152538.4
2026,март,Розничные рынки и ярмарки,157050.1
2026,апрель,Розничные рынки и ярмарки,160101.9
2026,май,Розничные рынки и ярмарки,160154.1
2026,июнь,Розничные рынки и ярмарки,164141.3
2026,июль,Розничные рынки и ярмарки,175221.9
2026,январь,Торгующие организации,4759368.5
2026,февраль,Торгующие организации,4691836.8
2026,март,Торгующие организации,5434312.4
2026,апрель,Торгующие организации,5316130.0
2026,май,Торгующие организации,5540650.9
2026,июнь,Торгующие организации,5609000.0
2026,июль,Торгующие организации,5862200.4
