category,growth_pct_2025,growth_pct_apr_may_2026
Продовольственные,12.0,8.0
Непродовольственные (всего),11.0,15.0
  из них: Маркетплейсы,42.0,33.0
  из них: Топливо,9.0,5.0
  из них: Лекарства и медтовары,12.0,9.0
  из них: Товары для стройки/ремонта,-2.0,-6.0
"  из них: Одежда, обувь, аксессуары",-5.0,-3.0
  из них: Бытовая техника,-6.0,-5.0
  из них: Товары для красоты и здоровья,0.0,4.0
  из них: Мебель и предметы интерьера,-2.0,-9.0
Услуги (всего),15.0,14.0
  из них: ЖКУ,11.0,21.0
  из них: Медицинские услуги,21.0,12.0
"  из них: Такси, каршеринг, аренда авто",8.0,-1.0
  из них: Путешествия и туризм,10.0,5.0
  из них: Авиабилеты,19.0,-3.0
Общепит,21.0,16.0
Все расходы,14.1,12.4
