city;category;format;growth_pct_q1_2026_vs_q1_2025
Москва;Продукты;ТЦ;-2.3
Москва;Продукты;Street retail;0.2
Москва;Непродовольственные;ТЦ;-4.7
Москва;Непродовольственные;Street retail;-0.4
Санкт-Петербург;Продукты;ТЦ;-1.3
Санкт-Петербург;Продукты;Street retail;-1.2
Санкт-Петербург;Непродовольственные;ТЦ;-8.0
Санкт-Петербург;Непродовольственные;Street retail;-2.0
Миллионники;Продукты;ТЦ;-4.8
Миллионники;Продукты;Street retail;0.6
Миллионники;Непродовольственные;ТЦ;-9.0
Миллионники;Непродовольственные;Street retail;-7.8
Города 500 тыс.-1 млн;Продукты;ТЦ;-4.4
Города 500 тыс.-1 млн;Продукты;Street retail;0.6
Города 500 тыс.-1 млн;Непродовольственные;ТЦ;-8.3
Города 500 тыс.-1 млн;Непродовольственные;Street retail;-9.0
Города 300-500 тыс.;Продукты;ТЦ;-2.2
Города 300-500 тыс.;Продукты;Street retail;-0.9
Города 300-500 тыс.;Непродовольственные;ТЦ;-8.2
Города 300-500 тыс.;Непродовольственные;Street retail;-7.7
Города 100-300 тыс.;Продукты;ТЦ;-3.1
Города 100-300 тыс.;Продукты;Street retail;0.7
Города 100-300 тыс.;Непродовольственные;ТЦ;-9.2
Города 100-300 тыс.;Непродовольственные;Street retail;-7.1
Города менее 100 тыс.;Продукты;ТЦ;-4.8
Города менее 100 тыс.;Продукты;Street retail;1.1
Города менее 100 тыс.;Непродовольственные;ТЦ;-10.1
Города менее 100 тыс.;Непродовольственные;Street retail;-5.6
